time,free,used,cached,buffers
1692038130,992.207,371.1211,2456.043,92.25
1692038129,992.207,371.1211,2456.043,92.25
1692038128,992.207,371.1211,2456.043,92.25
1692038127,992.207,371.1211,2456.043,92.25
1692038126,992.207,371.1211,2456.043,92.25
1692038125,992.207,371.1211,2456.043,92.25
1692038124,992.207,371.1211,2456.043,92.25
1692038123,992.207,371.1211,2456.043,92.25
1692038122,992.4531,370.875,2456.043,92.25
1692038121,992.6992,370.6289,2456.043,92.25
1692038120,992.9453,370.3828,2456.043,92.25
1692038119,992.9453,370.3945,2456.031,92.25
1692038118,992.9453,370.4336,2455.992,92.25
1692038117,992.9453,370.4531,2455.973,92.25
1692038116,995.1602,368.2773,2455.934,92.25
1692038115,995.1602,368.2969,2455.914,92.25
1692038114,996.6367,366.8555,2455.879,92.25
1692038113,996.6367,366.8789,2455.855,92.25
1692038112,996.6367,366.9102,2455.824,92.25
1692038111,996.6367,366.9336,2455.801,92.25
1692038110,996.6367,366.9766,2455.758,92.25
1692038109,996.6367,366.9961,2455.738,92.25
1692038108,996.6367,367.0312,2455.703,92.25
1692038107,996.6367,367.0625,2455.672,92.25
1692038106,996.6367,367.0859,2455.648,92.25
1692038105,996.6367,367.1211,2455.613,92.25
1692038104,996.6367,367.1445,2455.59,92.25
1692038103,996.6367,367.1719,2455.562,92.25
1692038102,996.6367,367.1992,2455.535,92.25
1692038101,996.6367,367.2305,2455.504,92.25
1692038100,996.6367,367.2578,2455.477,92.25
1692038099,996.6367,367.2891,2455.445,92.25
1692038098,996.6367,367.3203,2455.414,92.25
1692038097,996.6367,367.3477,2455.387,92.25
1692038096,997.8672,366.1445,2455.359,92.25
1692038095,1000.082,363.957,2455.332,92.25
1692038094,1000.3281,363.7461,2455.297,92.25
1692038093,1002.0508,362.0469,2455.273,92.25
1692038092,1004.5117,359.6172,2455.242,92.25
1692038091,1005.25,358.9219,2455.199,92.25
1692038090,1005.25,358.9531,2455.168,92.25
1692038089,1006.9727,357.2578,2455.141,92.25
1692038088,1009.8867,354.3828,2455.102,92.25
1692038087,970.8359,393.4688,2455.066,92.25
1692038086,970.8359,393.4961,2455.039,92.25
1692038085,970.8359,393.5195,2455.016,92.25
1692038084,970.8359,393.5508,2454.984,92.25
1692038083,970.8359,393.5742,2454.961,92.25
1692038082,970.8359,393.6016,2454.934,92.25
1692038081,970.8359,393.6328,2454.902,92.25
1692038080,972.8047,391.6875,2454.879,92.25
1692038079,973.543,390.9805,2454.848,92.25
1692038078,973.543,391.0273,2454.801,92.25
1692038077,974.0352,390.5625,2454.773,92.25
1692038076,972.5586,392.0664,2454.746,92.25
1692038075,974.5273,390.1289,2454.715,92.25
1692038074,975.0195,389.6719,2454.68,92.25
1692038073,976.9883,387.7266,2454.66,92.24609
1692038072,979.2031,385.5508,2454.621,92.24609
1692038071,979.2031,385.5703,2454.602,92.24609
1692038070,979.2031,385.6055,2454.566,92.24609
1692038069,979.2031,385.6328,2454.539,92.24609
1692038068,980.9258,383.9492,2454.504,92.24219
1692038067,983.3867,381.5195,2454.473,92.24219
1692038066,983.3867,381.5625,2454.43,92.24219
1692038065,983.3867,381.582,2454.41,92.24219
1692038064,983.3867,381.6172,2454.375,92.24219
1692038063,985.1094,379.9219,2454.348,92.24219
1692038062,985.1094,379.9531,2454.316,92.24219
1692038061,985.3555,379.7305,2454.293,92.24219
1692038060,987.3242,377.7969,2454.258,92.24219
1692038059,987.3242,377.8203,2454.234,92.24219
1692038058,987.5703,377.6133,2454.195,92.24219
1692038057,989.5391,375.6797,2454.164,92.23828
1692038056,992,373.2422,2454.141,92.23828
1692038055,993.7227,371.5547,2454.105,92.23828
1692038054,993.7227,371.5742,2454.086,92.23828
1692038053,995.9375,369.3984,2454.047,92.23828
1692038052,998.1523,367.2109,2454.02,92.23828
1692038051,1000.1211,365.2773,2453.984,92.23828
1692038050,1002.0898,363.332,2453.961,92.23828
1692038049,1002.3359,363.1211,2453.926,92.23828
1692038048,1003.3086,362.168,2453.906,92.23828
1692038047,1003.3086,362.1992,2453.875,92.23828
1692038046,1003.3086,362.2383,2453.836,92.23828
1692038045,1005.5234,360.0547,2453.805,92.23828
1692038044,1005.5234,360.082,2453.777,92.23828
1692038043,1007.4922,358.1484,2453.742,92.23828
1692038042,1007.9844,357.6875,2453.715,92.23438
1692038041,1009.9531,355.75,2453.684,92.23438
1692038040,1012.3828,353.3398,2453.664,92.23438
1692038039,972.6992,393.0625,2453.625,92.23438
1692038038,974.668,391.1133,2453.605,92.23438
1692038037,976.8828,388.9414,2453.566,92.23047
1692038036,976.8828,388.9727,2453.535,92.23047
1692038035,978.1133,387.7695,2453.508,92.23047
1692038034,978.3594,387.5508,2453.48,92.23047
1692038033,978.3594,387.5898,2453.441,92.23047
1692038032,978.3594,387.6172,2453.414,92.23047
1692038031,979.3438,386.6562,2453.391,92.23047
1692038030,979.3438,386.6836,2453.363,92.23047
1692038029,979.3438,386.7148,2453.332,92.23047
1692038028,979.3438,386.7422,2453.305,92.23047
1692038027,981.0664,385.0508,2453.273,92.23047
1692038026,981.3125,384.8359,2453.242,92.23047
1692038025,981.3125,384.875,2453.203,92.23047
1692038024,981.3125,384.8945,2453.184,92.23047
1692038023,981.3125,384.9297,2453.148,92.23047
1692038022,983.7734,382.5,2453.117,92.23047
1692038021,985.4961,380.8047,2453.09,92.23047
1692038020,985.4961,380.8398,2453.055,92.23047
1692038019,985.4961,380.8672,2453.027,92.23047
1692038018,985.7422,380.6562,2452.992,92.23047
1692038017,985.9883,380.4414,2452.961,92.23047
1692038016,985.9883,380.4648,2452.938,92.23047
1692038015,985.9883,380.5,2452.902,92.23047
1692038014,987.4648,379.0469,2452.879,92.23047
1692038013,987.957,378.5859,2452.848,92.23047
1692038012,989.6797,376.8867,2452.824,92.23047
1692038011,990.1719,376.4336,2452.785,92.23047
1692038010,992.1406,374.4883,2452.762,92.23047
1692038009,993.6172,373.0469,2452.727,92.23047
1692038008,993.6172,373.0664,2452.707,92.23047
1692038007,993.6172,373.1094,2452.668,92.22656
1692038006,993.6172,373.1289,2452.648,92.22656
1692038005,995.0938,371.6953,2452.605,92.22656
1692038004,995.0938,371.7227,2452.578,92.22656
1692038003,995.0938,371.75,2452.551,92.22656
1692038002,996.5703,370.3086,2452.52,92.22266
1692038001,996.8164,370.0977,2452.484,92.22266
1692038000,996.8164,370.125,2452.457,92.22266
1692037999,997.0625,369.9062,2452.43,92.22266
1692037998,997.0625,369.9375,2452.398,92.22266
1692037997,997.0625,369.9648,2452.371,92.22266
1692037996,997.0625,369.9883,2452.348,92.22266
1692037995,997.0625,370.0195,2452.316,92.22266
1692037994,997.0625,370.0508,2452.285,92.22266
1692037993,997.0625,370.0859,2452.25,92.22266
1692037992,997.0625,370.1133,2452.223,92.22266
1692037991,997.0625,370.1484,2452.188,92.22266
1692037990,997.0625,370.1758,2452.16,92.22266
1692037989,997.0625,370.207,2452.129,92.22266
1692037988,997.0625,370.2344,2452.102,92.22266
1692037987,997.0625,370.2617,2452.078,92.21875
1692037986,997.0625,370.2852,2452.055,92.21875
1692037985,997.0625,370.3242,2452.016,92.21875
1692037984,997.5547,369.8555,2451.992,92.21875
1692037983,997.8008,369.6523,2451.949,92.21875
1692037982,997.8008,369.6719,2451.93,92.21875
1692037981,998.293,369.2188,2451.891,92.21875
1692037980,998.293,369.2461,2451.863,92.21875
1692037979,1000.5078,367.0625,2451.832,92.21875
1692037978,1001.9727,365.625,2451.805,92.21875
1692037977,1002.2188,365.4062,2451.777,92.21875
1692037976,1003.9414,363.7148,2451.746,92.21875
1692037975,1004.1875,363.4922,2451.723,92.21875
1692037974,1006.1562,361.5508,2451.695,92.21875
1692037973,1008.125,359.6133,2451.664,92.21875
1692037972,1008.125,359.6445,2451.633,92.21875
1692037971,1010.5859,357.2188,2451.598,92.21875
1692037970,971.1562,396.668,2451.578,92.21875
1692037969,973.125,394.7422,2451.535,92.21875
1692037968,973.8633,394.0234,2451.516,92.21875
1692037967,973.8633,394.0586,2451.48,92.21875
1692037966,973.8633,394.0781,2451.461,92.21875
1692037965,973.8633,394.1172,2451.422,92.21875
1692037964,973.8633,394.1328,2451.406,92.21875
1692037963,973.8633,394.1602,2451.379,92.21875
1692037962,973.8633,394.1836,2451.355,92.21875
1692037961,974.1094,393.9805,2451.312,92.21875
1692037960,974.1094,394.0078,2451.285,92.21875
1692037959,974.1094,394.043,2451.25,92.21875
1692037958,974.1094,394.0781,2451.215,92.21875
1692037957,974.1094,394.1016,2451.195,92.21484
1692037956,975.0938,393.1523,2451.16,92.21484
1692037955,975.0938,393.1797,2451.133,92.21484
1692037954,975.0938,393.207,2451.105,92.21484
1692037953,975.3359,393,2451.07,92.21484
1692037952,975.3359,393.0234,2451.047,92.21484
1692037951,975.3359,393.0586,2451.012,92.21484
1692037950,975.3359,393.082,2450.988,92.21484
1692037949,975.3359,393.125,2450.945,92.21484
1692037948,975.3359,393.1445,2450.926,92.21484
1692037947,975.3359,393.1797,2450.891,92.21484
1692037946,975.3359,393.1992,2450.871,92.21484
1692037945,975.3359,393.2344,2450.836,92.21484
1692037944,975.3359,393.2539,2450.816,92.21484
1692037943,975.3359,393.2852,2450.785,92.21484
1692037942,977.3047,391.3438,2450.758,92.21484
1692037941,977.3047,391.3789,2450.723,92.21484
1692037940,979.2734,389.4297,2450.703,92.21484
1692037939,979.5195,389.2148,2450.672,92.21484
1692037938,979.5195,389.2422,2450.645,92.21484
1692037937,979.7656,389.0273,2450.617,92.21094
1692037936,979.7656,389.0273,2450.617,92.21094
1692037935,979.7656,389.0273,2450.617,92.21094
1692037934,980.0117,388.7812,2450.617,92.21094
1692037933,980.0117,388.7812,2450.617,92.21094
1692037932,980.0117,388.7812,2450.617,92.21094
1692037931,980.0117,388.7812,2450.617,92.21094
1692037930,980.0117,388.7812,2450.617,92.21094
1692037929,980.0117,388.7812,2450.617,92.21094
1692037928,980.0117,388.7812,2450.617,92.21094
1692037927,980.0117,388.7812,2450.617,92.21094
1692037926,980.0117,388.7812,2450.617,92.21094
1692037925,980.0117,388.7812,2450.617,92.21094
1692037924,980.0117,388.7812,2450.617,92.21094
1692037923,980.0117,388.7812,2450.617,92.21094
1692037922,980.0117,388.7812,2450.617,92.21094
1692037921,980.0117,388.7812,2450.617,92.21094
1692037920,980.0117,388.7812,2450.617,92.21094
1692037919,980.0117,388.7812,2450.617,92.21094
1692037918,980.0117,388.7812,2450.617,92.21094
1692037917,980.0117,388.7812,2450.617,92.21094
1692037916,980.0117,388.7812,2450.617,92.21094
1692037915,980.0117,388.7812,2450.617,92.21094
1692037914,980.0117,388.7812,2450.617,92.21094
1692037913,980.0117,388.7812,2450.617,92.21094
1692037912,980.0117,388.7812,2450.617,92.21094
1692037911,980.0117,388.7812,2450.617,92.21094
1692037910,980.0117,388.7812,2450.617,92.21094
1692037909,980.0117,388.7812,2450.617,92.21094
1692037908,980.0117,388.7852,2450.617,92.20703
1692037907,980.0117,388.7852,2450.617,92.20703
1692037906,980.0117,388.7852,2450.617,92.20703
1692037905,980.0117,388.7852,2450.617,92.20703
1692037904,980.0117,388.7852,2450.617,92.20703
1692037903,980.0117,388.7852,2450.617,92.20703
1692037902,980.0117,388.7852,2450.617,92.20703
1692037901,980.0117,388.7852,2450.617,92.20703
1692037900,980.0117,388.7852,2450.617,92.20703
1692037899,980.0117,388.7852,2450.617,92.20703
1692037898,980.0117,388.7852,2450.617,92.20703
1692037897,980.0117,388.7852,2450.617,92.20703
1692037896,980.0117,388.7852,2450.617,92.20703
1692037895,980.0117,388.7852,2450.617,92.20703
1692037894,980.0117,388.7852,2450.617,92.20703
1692037893,980.0117,388.7852,2450.617,92.20703
1692037892,980.0117,388.7852,2450.617,92.20703
1692037891,980.0117,388.7852,2450.617,92.20703
1692037890,980.0117,388.7852,2450.617,92.20703
1692037889,980.0117,388.7852,2450.617,92.20703
1692037888,980.0117,388.7852,2450.617,92.20703
1692037887,980.0117,388.7852,2450.617,92.20703
1692037886,980.0117,388.7852,2450.617,92.20703
1692037885,980.0117,388.7852,2450.617,92.20703
1692037884,980.0117,388.7852,2450.617,92.20703
1692037883,980.0117,388.7852,2450.617,92.20703
1692037882,980.0117,388.7852,2450.617,92.20703
1692037881,980.0117,388.7852,2450.617,92.20703
1692037880,980.0117,388.7852,2450.617,92.20703
1692037879,980.0117,388.7852,2450.617,92.20703
1692037878,980.0117,388.7852,2450.617,92.20703
1692037877,981.9805,386.8164,2450.617,92.20703
1692037876,983.9492,384.8477,2450.617,92.20703
1692037875,983.9492,384.8477,2450.617,92.20703
1692037874,983.9492,384.8477,2450.617,92.20703
1692037873,985.1797,383.6172,2450.617,92.20703
1692037872,985.1797,383.6172,2450.617,92.20703
1692037871,985.1797,383.6172,2450.617,92.20703
1692037870,985.1797,383.6172,2450.617,92.20703
1692037869,987.1484,381.6484,2450.617,92.20703
1692037868,988.625,380.1719,2450.617,92.20703
1692037867,988.8711,379.9258,2450.617,92.20703
1692037866,990.5938,378.2031,2450.617,92.20703
1692037865,991.5781,377.2188,2450.617,92.20703
1692037864,991.5781,377.2188,2450.617,92.20703
1692037863,991.5781,377.2188,2450.617,92.20703
1692037862,991.5781,377.2188,2450.617,92.20703
1692037861,991.5781,377.2188,2450.617,92.20703
1692037860,991.5781,377.2188,2450.617,92.20703
1692037859,991.5781,377.2188,2450.617,92.20703
1692037858,991.5781,377.2188,2450.617,92.20703
1692037857,991.5781,377.2188,2450.617,92.20703
1692037856,991.5781,377.2188,2450.617,92.20703
1692037855,991.5781,377.2188,2450.617,92.20703
1692037854,991.5781,377.2188,2450.617,92.20703
1692037853,991.5781,377.2188,2450.617,92.20703
1692037852,991.5781,377.2188,2450.617,92.20703
1692037851,991.8242,376.9727,2450.617,92.20703
1692037850,992.0703,376.7266,2450.617,92.20703
1692037849,992.0703,376.7266,2450.617,92.20703
1692037848,992.3047,376.4922,2450.617,92.20703
1692037847,992.3047,376.4922,2450.617,92.20703
1692037846,992.3047,376.4922,2450.617,92.20703
1692037845,992.3047,376.4922,2450.617,92.20703
1692037844,992.3047,376.4922,2450.617,92.20703
1692037843,992.3047,376.4922,2450.617,92.20703
1692037842,992.3047,376.4961,2450.617,92.20312
1692037841,992.3047,376.4961,2450.617,92.20312
1692037840,992.3047,376.4961,2450.617,92.20312
1692037839,992.3047,376.4961,2450.617,92.20312
1692037838,992.3047,376.4961,2450.617,92.20312
1692037837,992.3047,376.4961,2450.617,92.20312
1692037836,992.3047,376.4961,2450.617,92.20312
1692037835,992.3047,376.4961,2450.617,92.20312
1692037834,992.3047,376.4961,2450.617,92.20312
1692037833,992.3047,376.4961,2450.617,92.20312
1692037832,992.3047,376.4961,2450.617,92.20312
1692037831,992.3047,376.4961,2450.617,92.20312
1692037830,992.3047,376.4961,2450.617,92.20312
1692037829,992.3047,376.4961,2450.617,92.20312
1692037828,992.3047,376.4961,2450.617,92.20312
1692037827,992.3047,376.4961,2450.617,92.20312
1692037826,992.3047,376.4961,2450.617,92.20312
1692037825,992.3047,376.4961,2450.617,92.20312
1692037824,992.3047,376.4961,2450.617,92.20312
1692037823,992.3047,376.4961,2450.617,92.20312
1692037822,992.3047,376.4961,2450.617,92.20312
1692037821,992.3047,376.4961,2450.617,92.20312
1692037820,992.3047,376.4961,2450.617,92.20312
1692037819,992.3047,376.4961,2450.617,92.20312
1692037818,992.3047,376.4961,2450.617,92.20312
1692037817,992.3047,376.4961,2450.617,92.20312
1692037816,992.3047,376.4961,2450.617,92.20312
1692037815,992.3047,376.4961,2450.617,92.20312
1692037814,992.3047,376.4961,2450.617,92.20312
1692037813,992.3047,376.4961,2450.617,92.20312
1692037812,992.3047,376.4961,2450.617,92.20312
1692037811,992.3047,376.4961,2450.617,92.20312
1692037810,992.3047,376.4961,2450.617,92.20312
1692037809,992.3047,376.4961,2450.617,92.20312
1692037808,992.3047,376.4961,2450.617,92.20312
1692037807,992.3047,376.4961,2450.617,92.20312
1692037806,992.3047,376.4961,2450.617,92.20312
1692037805,992.3047,376.4961,2450.617,92.20312
1692037804,992.3047,376.4961,2450.617,92.20312
1692037803,992.3047,376.4961,2450.617,92.20312
1692037802,992.3047,376.4961,2450.617,92.20312
1692037801,992.3047,376.4961,2450.617,92.20312
1692037800,992.3047,376.4961,2450.617,92.20312
1692037799,992.3047,376.4961,2450.617,92.20312
1692037798,992.3047,376.4961,2450.617,92.20312
1692037797,992.3047,376.4961,2450.617,92.20312
1692037796,992.3047,376.4961,2450.617,92.20312
1692037795,992.3047,376.4961,2450.617,92.20312
1692037794,992.3047,376.4961,2450.617,92.20312
1692037793,992.3047,376.4961,2450.617,92.20312
1692037792,992.3047,376.5,2450.617,92.19922
1692037791,992.3047,376.5,2450.617,92.19922
1692037790,992.3047,376.5,2450.617,92.19922
1692037789,992.3047,376.5,2450.617,92.19922
1692037788,992.3047,376.5,2450.617,92.19922
1692037787,992.5508,376.2539,2450.617,92.19922
1692037786,992.5508,376.2539,2450.617,92.19922
1692037785,992.5508,376.2539,2450.617,92.19922
1692037784,995.0117,373.793,2450.617,92.19922
1692037783,995.0117,373.793,2450.617,92.19922
1692037782,995.0117,373.793,2450.617,92.19922
1692037781,995.75,373.0547,2450.617,92.19922
1692037780,995.9961,372.8086,2450.617,92.19922
1692037779,996.2422,372.5625,2450.617,92.19922
1692037778,996.2422,372.5625,2450.617,92.19922
1692037777,996.2422,372.5625,2450.617,92.19922
1692037776,996.2422,372.5625,2450.617,92.19922
1692037775,996.2422,372.5625,2450.617,92.19922
1692037774,996.2422,372.5625,2450.617,92.19922
1692037773,996.2422,372.5625,2450.617,92.19922
1692037772,996.2422,372.5625,2450.617,92.19922
1692037771,996.2422,372.5625,2450.617,92.19922
